ID,Filename,Output File,Status,Method,Created,Duration (s),Size (KB),Gender,Language,Surrogate,Error
714,call_20240924_002.wav,anonymized_20260212_085408_578.wav,completed,both,2026-02-12 08:54:06,2.53,3078.8,female,english,english_female_person_PERSON,
713,call_20240924_002.wav,anonymized_20260212_085306_684.wav,completed,both,2026-02-12 08:53:04,2.40,3078.8,female,english,english_female_person_PERSON,
712,call_20240924_002.wav,anonymized_20260212_085219_490.wav,completed,both,2026-02-12 08:52:16,2.64,3078.8,female,english,english_female_person_PERSON,
711,call_20240924_002.wav,anonymized_20260212_085121_658.wav,completed,both,2026-02-12 08:51:19,2.57,3078.8,female,english,english_female_person_PERSON,
710,call_20240924_001.wav,anonymized_20260212_084504_287.wav,completed,both,2026-02-12 08:44:56,8.33,6211.9,female,english,english_female_person_PERSON,
709,call_20240924_001.wav,anonymized_20260212_084452_249.wav,completed,both,2026-02-12 08:44:45,7.28,6211.9,female,english,english_female_person_PERSON,
708,call_20241105_003.wav,anonymized_20260212_084238_937.wav,completed,both,2026-02-12 08:42:33,5.88,5399.4,female,english,english_female_person_PERSON,
707,call_20230322_002.wav,anonymized_20260212_084212_393.wav,completed,both,2026-02-12 08:42:10,1.54,1442.9,female,english,english_female_location_LOCATION,
706,call_20240924_001.wav,anonymized_20260212_083639_805.wav,completed,both,2026-02-12 08:36:28,11.53,6211.9,female,english,english_female_person_PERSON,
705,call_20230322_001.wav,anonymized_20260212_083106_582.wav,completed,both,2026-02-12 08:31:04,1.62,1390.7,female,english,english_female_location_LOCATION,
704,call_20230320_004.wav,anonymized_20260212_082732_034.wav,completed,both,2026-02-12 08:27:22,10.03,6784.1,male,english,english_male_location_LOCATION,
703,call_20240923_006.wav,anonymized_20260212_081219_794.wav,completed,both,2026-02-12 08:12:15,4.30,3118.8,male,english,english_male_location_LOCATION,
702,call_20240923_006.wav,anonymized_20260212_081042_405.wav,completed,both,2026-02-12 08:10:39,3.28,3118.8,male,english,english_male_location_LOCATION,
